id,name,img_src,comic_url,view_count,comment,love,newest_chapter,updated_at
c498cf796caf7042d10b661dc62dbd86,Truyện tranh Free2Play,https://dtcdnyacd.com/nettruyen/thumb/free2play.jpg,https://nettruyenaa.com/truyen-tranh/free2play-25202,0,0,0,Chapter 11,1 ngày trước
97f5c13080322e2ab83c2407dfe0c7c5,Truyện tranh Swordmaster’s Youngest Son,https://dtcdnyacd.com/nettruyen/thumb/swordmasters-youngest-son.jpg,https://nettruyenaa.com/truyen-tranh/swordmasters-youngest-son-25201,0,0,0,Chapter 120,1 ngày trước
f61e0cf0694ce8adb0fa60cd5850641e,Truyện tranh CROSSED Series,https://cmnvymn.com/nettruyen/thumb/crossed-series.jpg,https://nettruyenaa.com/truyen-tranh/crossed-series-25200,0,0,0,Chapter 13,1 ngày trước
e01f91144692d052780348c8f6e8b86b,Truyện tranh Vợ chồng mới cưới còn zin,https://cmnvymn.com/nettruyen/thumb/vo-chong-moi-cuoi-con-zin.jpg,https://nettruyenaa.com/truyen-tranh/vo-chong-moi-cuoi-con-zin-25199,0,0,10,Chapter 95,1 ngày trước
92c23a0129d6571294e105a4beaaebff,Truyện tranh Gleipnir,https://cmnvymn.com/nettruyen/thumb/gleipnir.jpg,https://nettruyenaa.com/truyen-tranh/gleipnir-25197,0,0,0,Chapter 87,1 ngày trước
918bee4fd5c9f3a64c65d2fc43dff732,Truyện tranh Anh Sẽ Kết Hôn Với Em Nếu Em Từ Bỏ Việc Trở Thành Thần Tượng Chứ?,https://cmnvymn.com/nettruyen/thumb/anh-se-ket-hon-voi-em-neu-em-tu-bo-viec-tro-thanh-than-tuong-chu.jpg,https://nettruyenaa.com/truyen-tranh/anh-se-ket-hon-voi-em-neu-em-tu-bo-viec-tro-thanh-than-tuong-chu-24410,0,0,0,Chapter 8,1 ngày trước
e8e554262e5582ae190c4816b2655e17,Truyện tranh SIGNAL,https://dtcdnyacd.com/nettruyen/thumb/signal.jpg,https://nettruyenaa.com/truyen-tranh/signal-25195,0,0,0,Chapter 14,1 ngày trước
082d43008e30d223245ad134277a1ce6,Truyện tranh HE∀DS,https://cmnvymn.com/nettruyen/thumb/he-ds.jpg,https://nettruyenaa.com/truyen-tranh/he-ds-25194,0,0,0,Chapter 13,1 ngày trước
9a12e37dd044f9022526589f37641dc2,Truyện tranh Bạo Hành Giáo Dục - Những bậc cha mẹ dùng,https://dtcdnyacd.com/nettruyen/thumb/bao-hanh-giao-duc-nhung-bac-cha-me-dung-giao-duc-de-giet-chet-con-cai-minh.jpg,https://nettruyenaa.com/truyen-tranh/bao-hanh-giao-duc-nhung-bac-cha-me-dung-giao-duc-de-giet-chet-con-cai-minh-25193,0,0,0,Chapter 2,1 ngày trước
285994d361d8d4299de7ebd30dc37f2f,Truyện tranh Thiếu nữ (nam) bị người mình thích hiểu lầm,https://cmnvymn.com/nettruyen/thumb/thieu-nu-nam-bi-nguoi-minh-thich-hieu-lam.jpg,https://nettruyenaa.com/truyen-tranh/thieu-nu-nam-bi-nguoi-minh-thich-hieu-lam-25191,0,0,0,Chapter 5,1 ngày trước
aa1383bb5f2ef54f04747abc887e3731,Truyện tranh Daikaijuu Gaea-Tima,https://dtcdnyacd.com/nettruyen/thumb/daikaijuu-gaea-tima.jpg,https://nettruyenaa.com/truyen-tranh/daikaijuu-gaea-tima-25190,0,0,0,Chapter 12,1 ngày trước
61201c1664f63c05974e9fd056b0654d,Truyện tranh Tôi chỉ muốn,https://dtcdnyacd.com/nettruyen/thumb/toi-chi-muon-danh-bai-cau.jpg,https://nettruyenaa.com/truyen-tranh/toi-chi-muon-danh-bai-cau-24521,0,0,0,Chapter 5,1 ngày trước
df91ae04de36bc63020fd0008ca925aa,Truyện tranh Hakoniwa escape,https://cmnvymn.com/nettruyen/thumb/hakoniwa-escape.jpg,https://nettruyenaa.com/truyen-tranh/hakoniwa-escape-25189,0,0,0,Chapter 15,1 ngày trước
1bd5c1b6cb0962538bad9ebe39b36286,Truyện tranh Nữ Đầu Bếp Hoàng Gia,https://cmnvymn.com/nettruyen/thumb/nu-dau-bep-hoang-gia.jpg,https://nettruyenaa.com/truyen-tranh/nu-dau-bep-hoang-gia-25188,0,0,0,Chapter 112,1 ngày trước
fde526ffa25d25e8e994553ddd8683cb,Truyện tranh TSUYOSHI: không ai thắng được ta đâu!,https://cmnvymn.com/nettruyen/thumb/tsuyoshi-khong-ai-thang-duoc-ta-dau.jpg,https://nettruyenaa.com/truyen-tranh/tsuyoshi-khong-ai-thang-duoc-ta-dau-25187,0,0,0,Chapter 51,1 ngày trước
163e0a261faa83a54a9f4f1f40fe76f4,Truyện tranh Imouto ga Ichi Nichi Ikkai Shika Me wo Awasete Kurenai,https://dtcdnyacd.com/nettruyen/thumb/imouto-ga-ichi-nichi-ikkai-shika-me-wo-awasete-kurenai.jpg,https://nettruyenaa.com/truyen-tranh/imouto-ga-ichi-nichi-ikkai-shika-me-wo-awasete-kurenai-25186,0,0,0,Chapter 18,1 ngày trước
0f9d16d56952aeaa184bd3f8e3d2b8ba,Truyện tranh Tsuki ga Kirei Desu ne (Overblack Team),https://cmnvymn.com/nettruyen/thumb/tsuki-ga-kirei-desu-ne-overblack-team.jpg,https://nettruyenaa.com/truyen-tranh/tsuki-ga-kirei-desu-ne-overblack-team-25185,0,0,0,Chapter 21,1 ngày trước
237e25a87abc80412fd33c0345bcfa6b,Truyện tranh Tuyệt Thế Anh Hùng,https://cmnvymn.com/nettruyen/thumb/tuyet-the-anh-hung.jpg,https://nettruyenaa.com/truyen-tranh/tuyet-the-anh-hung-25224,0,0,0,Chapter 23,34 phút trước
6ae9d099591dee9297f90639d3321bb4,Truyện tranh Võ Thần Truyền,https://dtcdnyacd.com/nettruyen/thumb/vo-than-truyen.jpg,https://nettruyenaa.com/truyen-tranh/vo-than-truyen-24278,0,0,0,Chapter 7,43 phút trước
aa076edb0231161b06e6c0c2b09b8387,Truyện tranh Haikyuu,https://dtcdnyacd.com/nettruyen/thumb/haikyuu.jpg,https://nettruyenaa.com/truyen-tranh/haikyuu-526,0,0,0,Chapter 400,46 phút trước
9ee9470ed7f9e7542a076da2e996134a,Truyện tranh Bé Rồng Đột Kích! Mami Vừa Cay Vừa Độc,https://cmnvymn.com/nettruyen/thumb/be-rong-dot-kich-mami-vua-cay-vua-doc.jpg,https://nettruyenaa.com/truyen-tranh/be-rong-dot-kich-mami-vua-cay-vua-doc-14730,0,0,0,Chapter 111,48 phút trước
4c8732f6cb7b560c7aefc0a2ae439485,Truyện tranh Shipper Đến Từ Murim,https://dtcdnyacd.com/nettruyen/thumb/shipper-den-tu-murim.jpg,https://nettruyenaa.com/truyen-tranh/shipper-den-tu-murim-16501,0,0,0,Chapter 44,53 phút trước
81d03f917d0ffda1a4e878f0dd66ff22,Truyện tranh Tình Yêu Của Chieri Cao Tới Tận 8 Mét,https://dtcdnyacd.com/nettruyen/thumb/tinh-yeu-cua-chieri-cao-toi-tan-8-met.jpg,https://nettruyenaa.com/truyen-tranh/tinh-yeu-cua-chieri-cao-toi-tan-8-met-13285,0,0,0,Chapter 50,53 phút trước
d4d66d1ed1742016e2a11d617554b892,Truyện tranh Chàng Rể Mạnh Nhất Lịch Sử,https://cmnvymn.com/nettruyen/thumb/chang-re-manh-nhat-lich-su.jpg,https://nettruyenaa.com/truyen-tranh/chang-re-manh-nhat-lich-su-13103,0,0,0,Chapter 212,56 phút trước
dccf4939dacd135ec38c143b8d36c1de,Truyện tranh princess conect 4koma,https://dtcdnyacd.com/nettruyen/thumb/princess-conect-4koma.jpg,https://nettruyenaa.com/truyen-tranh/princess-conect-4koma-24306,0,0,0,Chapter 120,1 giờ trước
1c88e7cd6484e4b889483144abf76501,Truyện tranh Kiếm sĩ Thời Gian,https://dtcdnyacd.com/nettruyen/thumb/kiem-si-thoi-gian.jpg,https://nettruyenaa.com/truyen-tranh/kiem-si-thoi-gian-22836,0,0,0,Chapter 14,1 giờ trước
3d85538891e9ed33985c983afc5ecf09,Truyện tranh Ta Là Tà Đế,https://cmnvymn.com/nettruyen/thumb/ta-la-ta-de.jpg,https://nettruyenaa.com/truyen-tranh/ta-la-ta-de-8456,0,0,0,Chapter 491,2 giờ trước
93887428f26400a80736b44c56c62dee,Truyện tranh Vạn Cổ Chí Tôn,https://cmnvymn.com/nettruyen/thumb/van-co-chi-ton.jpg,https://nettruyenaa.com/truyen-tranh/van-co-chi-ton-11261,0,0,0,Chapter 330,2 giờ trước
488407abc1c1b50957bd7dd41c31c75d,Truyện tranh 7 Viên Bi Rồng,https://cmnvymn.com/nettruyen/thumb/7-vien-bi-rong.jpg,https://nettruyenaa.com/truyen-tranh/7-vien-bi-rong-25223,0,0,0,Chapter 67,2 giờ trước
0056b4238f04cdf0dfdcb629ab90d5af,Truyện tranh Phù thủy biển cả,https://dtcdnyacd.com/nettruyen/thumb/phu-thuy-bien-ca.jpg,https://nettruyenaa.com/truyen-tranh/phu-thuy-bien-ca-25221,0,0,0,Chapter 19,4 giờ trước
4dcb165c206c6ea14a4144acb0e2f3b4,"Truyện tranh Đại Ái Ma Tôn, Nữ Đồ Đệ Đều Muốn Giết Ta",https://dtcdnyacd.com/nettruyen/thumb/dai-ai-ma-ton-nu-do-de-deu-muon-giet-ta.jpg,https://nettruyenaa.com/truyen-tranh/dai-ai-ma-ton-nu-do-de-deu-muon-giet-ta-17977,0,0,0,Chapter 28,4 giờ trước
adc7a18ea8cea6601f2ebfc0cd55f5f3,Truyện tranh Vạn Cổ Tối Cường Tông,https://dtcdnyacd.com/nettruyen/thumb/van-co-toi-cuong-tong.jpg,https://nettruyenaa.com/truyen-tranh/van-co-toi-cuong-tong-11262,0,0,0,Chapter 342,4 giờ trước
69d48547a4052633e359259d736cfb6b,Truyện tranh Nông Trường Siêu Cấp Ở Tận Thế,https://dtcdnyacd.com/nettruyen/thumb/nong-truong-sieu-cap-o-tan-the.jpg,https://nettruyenaa.com/truyen-tranh/nong-truong-sieu-cap-o-tan-the-14856,0,0,0,Chapter 53,4 giờ trước
4ba5ee429c7e4ee543e2afdd43eeef2b,Truyện tranh Quái Công Du Lục,https://dtcdnyacd.com/nettruyen/thumb/quai-cong-du-luc.jpg,https://nettruyenaa.com/truyen-tranh/quai-cong-du-luc-25220,0,0,0,Chapter 23,4 giờ trước
b7d3150d57393bac93c4acad20f153e7,Truyện tranh Lần Nữa Toả Sáng,https://cmnvymn.com/nettruyen/thumb/lan-nua-toa-sang.jpg,https://nettruyenaa.com/truyen-tranh/lan-nua-toa-sang-11840,0,0,0,Chapter 94,4 giờ trước
